,Title,Company,Location,Job Description,When Posted,Pay,City,State,Is_Hybrid_Remote
78,Product Marketing Assistant Manager,The Walt Disney Studios,"Glendale, CA","Partner with the consumer insights, data science, and analytics teams to define goals and track the success of key launches and monitor results to inform future…",Posted 30+ days ago·,136700.0,Glendale,CA,False
79,Programmer Analyst,USC,"Los Angeles, CA",Develop web-based databases and tools to facilitate data analysis.,Posted 30+ days ago·,,Los Angeles,CA,False
80,"Manager, Data Analytics",Disney Music Group,"Burbank, CA","Experience manipulating large, transaction level datasets and interpreting data trends from multiple disparate data sources.",Posted 30+ days ago·,182490.0,Burbank,CA,False
81,"Water Resources Engineer, Scientist, or Data Scientist",LimnoTech,"Los Angeles, CA","Data management, processing and assessment, including developing automated tools for data management, analysis, and visualization using modern data science…",Posted 30+ days ago·,,Los Angeles,CA,False
82,Data Scientist,Link Network,"Torrance, CA",Identify data needs and sources.,Posted 1 day ago·,,Torrance,CA,False
83,Senior Manager Global Portfolio Management & Transactions,The Walt Disney Company (Corporate),"Burbank, CA","Understanding, tracking and managing data.",Posted 27 days ago·,,Burbank,CA,False
84,Senior Business Data Analyst,USC,"Los Angeles, CA",Identifies data sources and manages collection process; cleans data for input into business intelligence (BI) tools.,Posted 3 days ago·,113304.12,Los Angeles,CA,False
85,Staff Data Scientist,StubHub,"Hybrid remote in Los Angeles, CA","5+ years of relevant data science or machine learning experience and an MS. or Ph.D. degree in math, statistics, computer science, or other quantitative fields…",Posted 7 days ago·,,Hybrid remote in Los Angeles,CA,True
86,Analytics Manager,Alo Yoga,"Beverly Hills, CA","Minimum of 8+ years of experience in data analytics or data science, including experience in retail analytics and growth strategies and 2+ years managing people…",Posted 30+ days ago·,,Beverly Hills,CA,False
87,"Growth Marketing Analyst, Paid Social",Thrive Causemetics,"Los Angeles, CA",Exceptional analytical skills to drive data-driven decisions and problem-solving.,Posted 30+ days ago·,,Los Angeles,CA,False
88,"LA Galaxy, Sr Data Analyst- Marketing",AEG Worldwide,"Carson, CA",Work with the Data Engineer to ensure data is structured properly for analysis to ensure the data desired is received.,Posted 16 days ago·,,Carson,CA,False
89,"Analyst, Quality Analytics & Performance Improvement (Remote)",Molina Healthcare,"Remote in Long Beach, CA 90802","Work in an agile business environment to derive meaningful information out of complex as well as large organizational data sets through data analysis, data…",Posted 6 days ago·,,Remote in Long Beach,CA,True
90,Mid-Level Staff Analyst,BOEING,"El Segundo, CA 90245","4+ years of experience collecting data from multiple sources, performing analysis and presenting data.",Posted 7 days ago·,106950.0,El Segundo,CA,False
91,Research Associate Data Scientist - Slomka Lab - Innovation in Imaging / Department of Medicine / Division of AIM,CEDARS-SINAI,"Los Angeles, CA",Creates sustainable data science infrastructure and adheres to data analysis/machine learning standard processes.,Posted 6 days ago·,133100.0,Los Angeles,CA,False
92,Data Scientist,Triunity Software,"Los Angeles, CA 90012","MS or PhD in computer science, data science, statistics, math, or related quantitative field.",Posted 1 day ago·,160000.0,Los Angeles,CA,False
93,"Analyst, Data Management & Reporting","Sony Pictures Entertainment, Inc.","Culver City, CA","Excellent data manipulation, data cleaning and data visualization skills for summarizing large data sets to help facilitate decision making and strategic…",Posted 30+ days ago·,,Culver City,CA,False
94,"Analyst, Content Performance Analytics (Disney Entertainment)",Disney Entertainment Television,"Los Angeles, CA",Expertise in data exploration and data science.,Posted 30+ days ago·,93800.0,Los Angeles,CA,False
95,Staff Data Engineer,Metropolis,"Los Angeles, CA","Create business data catalog and/or data dictionaries to document data lineages, data definitions and metadata for data domains.",Posted 30+ days ago·,,Los Angeles,CA,False
96,Senior Statistician (Fixed Hybrid),UCLA Health,"Los Angeles, CA 90095","You will collaborate with staff and faculty on data management, data quality control, statistical modeling, designing study databases, and applying skill in…",Posted 14 days ago·,175000.0,Los Angeles,CA,False
97,"Data Scientist, Payment Analytics - USDS",TikTok,"Hybrid remote in Los Angeles, CA","3+ years working in data science, risk, machine learning, and A/B testing.",Posted 4 days ago·,228000.0,Hybrid remote in Los Angeles,CA,True
98,PowerBI Reports Developer for Chemical Guys,Jenn Nguyen and Friends,"Torrance, CA 90505",Implement security measures to ensure data confidentiality and compliance with data protection regulations.,Active 2 days ago·,130000.0,Torrance,CA,False
99,"Manager, Data Science",Disney Direct to Consumer,"Santa Monica, CA",Experience fully integrating data science solutions into the business and operationalizing and developing ML models.,Posted 30+ days ago·,200200.0,Santa Monica,CA,False
100,Games Data Lead,Blitz App,"Los Angeles, CA","Data Architecture: Define and implement data architecture best practices, including data warehousing, data lakes, and cloud-based solutions.",Posted 30+ days ago·,,Los Angeles,CA,False
101,Conversational AI / NLP Engineer,Alelo,"Los Angeles, CA",Demonstrated ability to draw insights from user data and use them to drive product improvements.,Posted 30+ days ago·,,Los Angeles,CA,False
